,text_tokens,text_length
112,ходить спорт зал молотый невский написать лс,7
113,нибыть делать курсовой сергеев н отписаться коммент,7
114,нибыть делать задача тэц логвиновый н,6
115,потерять флешка пункт охрана,4
116,,0
117,обнаружить этаж лежать очень грустный отдать охрана,7
118,второй курс магистратура направление реклама связь общественность откликнуться комментарий нужный помощь ваш коллега первокурсник предмет,15
119,й корпус й этаж самый любимый автомат порадовать молоко вода сахар какао,12
120,нибыть делать курсовой теория телетрафик,5
121,приветствовать господин несчастие предлагать свой услуга выполнение лабораторный работа мпу аов ппм скдикт окитпэс предлагать помощь подготовка экзамен высокий математика дополнительный информация лс весь добро,25
122,добрый время сутки товарищ предлагать услуга написание курсовой работа тема расчёт усилитель фотоприёмник воспать дисциплина эис лабораторный работа дисциплина дополнение помощь защита кр,23
123,кабинет оставить бутылка забрать панихидников сергей александрович,7
124,найти телефон фиолетовый чехол мишка отн студсовет этаж корпус,9
125,приветствовать студент предлагать свой услуга создание проект написание скрипт писать срок стоимость согласование,13
126,привет искать человек который сделать практический алгоритм структура данные моисеев учиться дизайн,12
127,анон быстрый закрыть академический задолженность поделиться свой опыт,8
128,привет нужный помощь курсовой предмет бизнес планирование риск финансирование бизнес модель экселе препод кот,14
129,помочь идз вышмат,3
130,охрана,1
131,этаж забрать,2
132,найти зонт кабинет лежать стол препод,6
133,найти прикол забрать прикол написать прикол,6
134,добрый день мочь выложить команда бончевский парень который собираться ворваться медийный футбольный лига,13
135,наслать кольцо лежать потеряшка,4
136,,0
137,интересовать вопрос группа иб з чат куратор скинуть неравнодушный человек ссылка понимание,12
138,мочь помочь обьяснить лаба предмет цифровой обработка сигнал защита лаба,10
139,белов англ экз принимать требовать строго оценивать анон,8
140,уметь паять паяльный станция перепаять чип очень маленький,8
141,анон нужный работа бжд васильев конспект перспектива развитие отрасль инфокоммуникация фокин найти комментарий,13
142,искать жена женщина обязательно квартира центр питер маленький комната возить уч бу собственный машина мерин далее плохой тачка сесть отлично готовить стирать вещь лишний вопрос каждый лето возить дубай давать туда неограниченный количество деньга муж отдыхать любить отличный собеседник тема любящий человечек который рядом выбрать солнышко комментарий удача,48
143,весь привет проект нужный веб дизайнер который смочь сделать дизайн требование жёсткий условие главное желание работать интересный проект крутой команда проект разработка маркетплейс профессиональный световой оборудование бесплатно интересно подробность рассказать личка,31
144,товарищ несчастие рассказать сдавать зачёт экзамен лаба биккенин теория связь писать личка рад ответ,14
145,весь привет предлагать свой услуга создание презентация выслушать ваш идея воплотить реальность цена срок договорённость ждать ваш отклик учиться бонкий курс иметь представление требование преподаватель,25
146,этаж корпус налить вкусный кофе,5
147,мочь сделать курсач радиоприёмный устройство телерадиовещание павлов г г,9
148,помочь компас,2
149,найти ластик вернуть пруфан ваш,5
150,оставить охрана,2
151,ребята весь привет делать лабораторный основа конструирование технология производство электронный средство окитпэс курсач сеть связь система коммутация сиск обращаться нужно,20
152,оставить проездной коворкинг отдать охранник,5
153,иванов виктория александрович английский язык принимать экзамен долг перёв лся проходить экзамен анон,13
154,поиск чат рсо перевестись корехать админ выкладывать,7
155,потерять ключ уна охранник,4
156,усм з написать лс информация повод обучение,7
157,найти зонтик положить ряд,4
158,хотеть поиграть игра написать комментарий анон,6
159,суицидник первак котрый громов пара послать мат анон,8
160,нужный помочь задание гречишников сапр,5
161,нынче скалецкий принимать экзамен анонимно,5
162,добрый день искать человек который мочь помочь курсач владимиров тсиупд,10
163,привет нибыть почта чебыкина василий александрович,6
164,искать девушка розовый светлый волос чёрный куртка ехать вчера автобус район выйти остановка бонч анон,15
165,весь привет курс мочь денежка помочь лаба яковлев писать комментарий,10
166,нибыть пересдавать теория информация шумаков повышение оценка диплом,8
167,весь привет пи курс мочь денежка помочь лаба фомин писать комментарий,11
168,искать учёба норма взломать версия автокада помочь,7
169,найтись этаж корпус,3
170,заочник иб з найтись,4
171,искать человек который мочь сделать черта деталь компас гост,9
172,отдать охрана,2
173,нибыть знать проходить экзамен волков н программно конфигурировать сеть анон,10
174,отдать охрана лежать дорога территория бонч анон,7
175,кофе таракан мочь сэндвич волос покупать первый этаж первый корпус,10
176,добрый день мочь помочь решить задача теор вера вознаграждение,9
177,отдать охрана,2
178,искать мурчалка ангел,3
179,девочка забирать весь руб месяц убираться готовить таскать тяжёлый пакет,10
180,наслать мышка оставить,3
181,наслать лежать охрана,3
182,вечер среда маленький паренёк самокат отдать пропуск студентка ино карточка пост охрана герой,13
183,иб з найтись конф группа,5
184,найти паспорт лукиян егор алексеевич казаться группа икпить,8
185,наслать вход бонч оставить потеряшка,5
186,найти вход отдать охрана,4
187,писать мобильный приложение дипломный работа отписаться коммент пж,8
188,потерять этаж стульчик кабинет,4
189,дневник пенал оставить,3
190,стол преподаватель,2
191,найти студенческий остановка гостинка политех находиться писать лс,8
192,рафик вести одк лайкнуть пост написать коммент хотеться задать пара вопрос анон,12
193,добрый день искать девочка иктво вуц анон,7
194,понимать иб технология защита база данные,6
195,,0
196,найти приписной удостоверение новиков дмитрий сергеевич лежать работник столовая этаж корпус,11
197,найти карта имя виктория алехин ждать лс,7
198,чей блютус адаптер мышка лс,5
199,аудитория сегодня вчера оставить серебрять кольцо любить разный язык отдать кабинет сидеть ключница второй корпус,15
200,весь привет реально перевестись инфбез вуз специальность семестр опыт перевод,10
201,найти тетрадь окно оставить подоконник,5
202,забыть наушник,2
203,мочь помочь электротеника конкретно сделать схема монетка,7
204,лежать станция сенной площадь найти девочка вк учиться курс факультет радиотехнология связь,12
205,найти улица передать охрана,4
206,найти студенческий проездной вход территория бонч ждать охрана,8
207,лежать стол преподаватель лс,4
208,ребята брать академ указывать заявление конкретный причина писать личный причина семейный обстоятельство знакомый который брать академ рассказать,17
209,весь привет особенно заочник поступление заочко появиться вопрос попасть лк понять группа взять весь нужный информация анон,17
210,найти подлетать охрана,3
211,найти этаж отнести потеряшка,4
212,потерять фотокарточка зач ти обращаться курилка,6
213,лабораторный работа дисциплина архитектура информационный система громов задание лабораторный личка,10
214,найти наушник положить стол препод,5
215,ауд,1
216,наслать наушник писать лс забрать подтверждение нужно ваш,8
217,найти кепка унести потерянный вещь охрана,6
218,стол преподаватель прикопа смотреть,4
219,найти проводной айфоновский наушник оставить стол преподаватель,7
220,найти шлагбаум отнести охрана,4
221,оставить,1
222,найти повербанк отнести пост охрана,5
223,человек специалист смочь помочь сфера электроника электромеханик автоматика пара момент учебный план,12
224,лежать подоконник недалеко вход,4
225,обращаться,1
226,привет хотеть узнать опыт перевод форма обучение бюджет насколько вообще оценка мочь потребоваться анон,14
227,искать парень друг требование участие венерический букет условие чей коммент собрать большой лайковый победить приз никита франк анон,18
228,потерять паспорт передать паспорт перекрёсток смайл,6
229,видимо вчерашний день лежать,4
230,искать пара друг требование участие условие чей коммент собрать большой лайковый победить приз гамид дибиров анон пж,17
231,почему казаться год первокурсник ещё большой потеряшка оставлять,8
232,найти пропуск отдать пост охрана,5
233,забыть зарядка,2
234,оставить аудитория свой тетрадь отписать,5
235,иванов далее рт оставить свой тетрадь лекция,7
236,забыть аудитория вуз отписаться,4
237,найти карта этаж забрать корпус,5
238,наслать карта столовая отдать касса этаж корпус,7
239,потерять кольцо приходить искать лежать шкаф потеряшка наклейка наклеить,9
240,отнести потеряшка,2
241,здравие желать паступать могистратура лень ответётя тупой вапроса коммент знать ваёнок год друг друг который брат который знокомый который сказать ставить самнение данный высказывоние извеняться инфармация сайт ноидти анонимный,29
242,новинка автомат прозрачный горячий шоколад хлопья,6
243,оставить стол преподаватель,3
244,найти карта учиться оставить стол преподаватель,6
245,вс м пока пора отписываться удача,6
246,разбираться программа нужно сделать несколько лаб вознаграждение,7
247,весь привет мочь заочки направление первый курс вопросик связаться лс,10
248,забыть пенал положить стол препод,5
249,ребята крутой кофе первый этаж второй корпус брать ванильный капучиный,10
250,ребята бск оформить автобус который ездить работать метро пара неделя кататься мочь нибыть нужный карта октябрь действовать брать косарь отдать мочь маленький докопаться фотка карта чехол купить,27
251,весь привет откликнуться ребята закончить магистратура учиться заочный курс специальность реклама связь общественность несколько вопрос анонимно,16
252,отписаться нибыть группа истый истый истый истый истый истый пара вопрос,11
253,найти карта бонч,3
254,найти зарядка отнести пост охрана,5
255,потерянный пропуск кошелёк молодой человек знать общаться написать данный мужчина найти вещь хотеть вернуть,14
256,делать курсовой проект цсп препод матюхин ю,7
257,вопрос онли девушка мочь актуально жить студия кудровый уник минута автобус хотеть найти соседка снимать,15
258,найти наушник холл сегодня конец пятый пара отнести,8
259,весь привет мочь скинуть трек добрый утро славянин пора бонч очень признательный аск,13
260,вопрос знаток пойти работать второй курс нормально зарабатывать положить хер уч бу аск,13
261,чь забытый,2
262,искать тиммейт бонч играть мечтать мурчалка ангел интересно писать лс,10
263,найти серебряный серёжка обращаться большой перерыв,6
264,искать студент бонч фурри лс,5
265,забыть бутылка отнести охрана,4
266,анонимно мочь пж рассказать препод принимать зачёт экз защита насколько лояльный идти навстречу слан п экономика милый далее срсна кучерявый кондрашов ю,22
267,диплом писать операционка пестово цветковый,5
268,привет хотеть узнать переводться очно заочный очко нюанс сколько перевестись сессия бюджет бюджет курс ино исит анонпж,17
269,привет беседа заочник направление,4
270,господин студент капиталист либералиста написать личка идея организация капиталистический кружка пообсуждать невидимый рука рынок свободный уч время,17
271,товарищ студент коммунист социалист написать личка идея организация марксистский кружка пообсуждать теория свободный уч время вс,16
272,найти отнести охрана,3
273,наслать перекр стка отнести проходная,5
274,среда сентябрь корпус этаж столовка оставить кепка анон,8
275,весь привет хотеть собрать команда турнир лига легенда скоро официальный набор кибербонч думать смотреть новость желательно платина круто рассказать свой друг геймер,22
276,добрый вркмкнуть сутки друг реально совсещать работа учёба маг бонкий вуз интернет вузовский типо открытый анон пж,17
277,анон ребята поступить реклама связь общественность заочко отписаться комментарий никакой информация институт поступать приезжать делать тд,16
278,найти пенал полочка парта чей отозваться отнести пункт охрана,9
279,лежать охрана,2
280,найти наушник внутренний двор бонч ближний метро лежать потеряшка,9
281,поступить заочко направление информационный система технология интеллектуальный информационный система технология отписаться известно учебный процесс наш дальнейший действие,17
282,привет искать ребята поступить заочко реклама связь общественность создать чат,10
283,анонимно ребята который поступить зочко мочь найти беседа создать свой одногруппник,11
284,весь привет искать человек поступить реклама заочно писать личка,9
285,поступать военный кафедра курс ехать сбор окончание насколько требование внешний вид момент учёба военка вообще анон,16
286,вопрос парень ходить нибыть последний время военкомат необходимо встать уч место регистрация заставлять военный стол работодатель насколько опасно идти туда штамп приписка никуда забрать вообще выглядеть процедура постановка уч просьба анонимно,31
287,антон переводиться начало второй курс заочный отделение очный вуз хотеться узнать происходить нужно интересовать конкретно бюджет очный бюджет заочный хотеться узнать общий план вид перевод,25
288,нибыть знать анна крым фамилия знать перейти курс спбгута проходить практика ржд вчера дочь оставить вагон смартфон мочь знать заранее благодарить помощь,22
289,анонимно добрый день мочь рассказать порядок выселение общежитие нужно идти военкомат нужно сначала прописаться друг место тд,17
290,искать человек готовый помочь выполнение список схемотехник кп теория электрический связь кр технология беспроводный доступ кп оборудование сеть подвижный связь кп мопередавать устройство система подвижный связь кп подробный написать лс,30
291,нимн п луйст п тема вс нибыть знать п дск жито х р нуть ч л з нимающий г иту лами з клин ния очень нужн админ хорошой настроение чень бл г далее рна з п м щь размещение данный пост,41
292,приветствовать разыскиваться ребята поступить вечерок направление информационный система технология профиль интеллектуальный информационный система технология наслать список писать пригласить беседа остальной знать человек сообщить искать,24
293,анонимно привет снова свой сраный совет товарищ любой курс думать касаться первак учиться делать конспект слайд слайд сказать вслух прожевать быстро неважно разный человек разный подход хранение информация общий правило написать слеза писать вс лекция большой должный практика лаб писать восстановить абг конст верс плохой заметка контекст любой пара неважно лекция лаба практика сразу вечером обрабатывать свой запись хороший переписывать чистовик закладка легко найти цифровой вид программа бесплатный очень крутой платный сразу ноут писать уметь делать бэкап обязательно хранить флешка зацикливаться оформление придумать взять готовый система использовать содержание важный форма правильно учиться навык который следовать осваивать оттачивать бесполезно ходить посидеть универ картинка граф заметка жизнь связать ссылка тег ссылочка,109
294,анонимно добрый день мочь ответить иметь опыт поступить вуц прописать всеволожский район кудровый мурино сложно собрать медицинский документ поступление всеволожский район,21
295,уважаемый абитуриент последний время приходить большой количество вопрос поступление образование вступительный испытание университет проект который заниматься адаптация абитуриент первокурсник организатор рассказать университет помочь выбрать направление подать документ обращаться личный сообщение группа абитуриент спбгута оставлять свой вопрос комментарий пост,38
296,давать ещё большой постооо,4
297,анонимно сутки нибыть знать производиться перевод очный отделение самый направление заочный смотреть перевод,13
298,добрый день подсказать проходить собеседование абитуриент давать время подготовка сколько вопрос билет,12
299,наслать студак горьковский июль потерять отозваться,6
300,анонимно добрый вечер идти программный инженерия прикладной информатика хотеть узнать прога сильный хороший база давать,15
301,выход второй корпус найти карта подорожник отнести пост охрана,9
302,анон выпускник ртс работать специальность ребята избежать заморочка заранее изучить делать больший документ курсовой диплом иначе большой время потратить подгон отступ заголовок дерьмо нравиться мочь найти редактор стиль заранее прописывать стиль затем писать текст процесс поменяться менять место заголовок съезжать накладываться использовать шаблон бончат делать удобно,46
303,интересовать магистратура безопасность компьютерный система рассказать учение программа очень благодарный,10
304,весь привет рассказать инфобез бакалавриат специалитет направление насколько трудно учиться сильно отчислять вид прога насколько сильный уклон станок подобный стоить идти хотеться ещё узнать иксса степень немой делать реально перевестись заранее,31
305,добрый день ребята подсказать корпус обучаться студент бакалавриат направление исит ивт программный инженерия общежитие заселять,15
306,весь привет стоить сюда поступать реклама выбирать универ спб ребята который учиться реклама лайкнуть пост отписаться анонимно,17
307,весь привет подсказать вуц брать весь направление большой конкурс успевать закончить вуц окончание бакалавриат,14
308,привет собираться поступать заочно реклама хотеть услышать мнение человек обучаться программа задать некоторый вопрос обучение анонимно написать лайкнуть,18
309,весь привет подсказать легко получить общага балл целое стоить расчитывать очень бояться пройти конкурс общага тк снимать квартира дороговатый,19
310,оставить красавец вход,3
311,весь привет день создать беседа едм музыкант хотеть писать добавить,10
312,весь привет переводиться лэти курс сюда рассказать направление обучение иксса направление сдача долг тд,14
313,привет планировать поступать бонч год хотеться узнать ивт исит особенно обучение профиль системный прикладной программирование информационный система готовый рассказать написать лс оставить комментарий заранее,24
314,добрый вечер собираться поступать информационный безопасность учиться учиться рассказать сложно учиться препод вообще учебный процесс,15
315,й этаж го корпус отнести пост охрана,7
316,весь привет давать общежитие платник,5
317,добрый день нужный старшекурсник факультет иксса направление иктс готовый помочь сдача долг курс нужный лекция лабораторный тд профильный предмет предмет нужно отписать лс естественно бесплатно,25
