,text_tokens,text_length
346,отсюда изучать электроника информационный технология мочь ответить вопрос специальность,9
347,привет товарищ обращаться жизненно необходимый просьба заметить группа признавашка итмый скатиться поэтому назреть вопрос родиться георгий круглов курс анон,19
348,весь привет работать итмый принт ломо,6
349,весь привет мочь помочь лаба ооп курс писать комментарий лайкать анон,11
350,человек разбираться человек который мочь посоветовать сфера поделиться опыт итмый принцип хотеться узнать анон,14
351,нужный помощь матан кт первый курс бесплатно офк писать коммент,10
352,восстанавливаться полгода восстановить прежний группа потерять год,7
353,получить рассрочка оплата выдаваться,4
354,перевестись магистратура курс университет наличие академический задолженность уточнить вопрос анон,10
355,учиться доучиваться балансировать грань вылет бездумно выполнять нужный задание принять учиться знать делать инерция давно набрасываться интересный научный тема читать взахлёб технический литература испытывать чувство удовлетворение гордость суметь решить трудный задача давно решать испытывать прежний амбиция остаться ровно слиться единый серый каша знать далёкий хотеть знать анон,47
356,весь привет нибыть мочь помочь лаба эпи бесплатно анон,9
357,привет искать человек который делать авторский инди проект геймдева целое делать свой петь проект классно пообщаться найти смежный интерес возможность,20
358,палить препод ученик использование нейросетка опыт негативный написать пж,9
359,анон добрый день сдать гос последний сессия закрыть год сдать гос получить диплом,13
360,мочь нибыть помочь лаба эпи бесплатно,6
361,мочь нибыть магистратура разработка компьютерный игра откликнуться несколько вопросик часть вступительный экзамен программа,13
362,искать человек опыт защита проект физический культура хотеть задать пара вопрос анон,12
363,предлагать помериться,2
364,оставить зарядка коворкинг оставить пост охрана,6
365,мочь помочь питон анон,4
366,переводиться итмый институт отписать происходить собеседование перевод,7
367,подойт мак уч бит хороший взять ноут винд,8
368,немного рука еда туалет лень еда упасть пол поднимать целый день играть дот пара появляться чисто лаба сдать возможность тупо скинуть гугл диск дефай мид индифферентный жизнь особенно политика считать самый умный мир любить уходить перекур каток бухать процесс игра жить удовольствие карьера строй чисто почиллить узнать лайк анон,49
369,поддержать команда итмый прошлый неделя состояться чемпионат битва робот килограммовый машина сражаться возможность выйти полуфинал наш команда итмый робот р потерпеть поражение последний бой шанс вернуть страница чемпионат проходить голосование возвращение вылететь робот нужный максимальный поддержка,36
370,мочь помочь лаба бжд срочно бесплатно анон,7
371,анонимно понимать отремонтировать окно песочек бардак происходить университет,8
372,планшет хороший весь подойда уч,5
373,искать человек команда хакатон шарить рекомендательный система машинный обучение,9
